Variable ,bmad_name,device_pv_name,device_min,device_max,scan_min,scan_max,pv_unit,impact_name,impact_factor,impact_description,impact_unit
Iris diameter,None,IRIS:LR20:130:MOTR_ANGLE Not Correct,0.3,1.8,0.8,1.2,mm,distgen:r_dist:sigma_xy:value,0.3333333,Gaussian is cut off at 1.5 sigma_xu,mm
Solenoid,SOL1,SOLN:IN20:121:BDES,0,0.55,0.35,0.5,kG*m,SOL1:solenoid_field_scale,0.51427242,peak field,T
Corrector quad,CQ01,QUAD:IN20:121:BDES,-0.015,0.015,-0.015,0.015,kG,CQ01:b1_gradient,0.476190476,Corrector quad gradient,T/m
Skew quad,SQ01,QUAD:IN20:122:BDES,-0.015,0.015,-0.015,0.015,kG,SQ01:b1_gradient,0.476190476,Skew quad gradient,T/m
L0A,L0A,ACCL:IN20:300:L0A_PDES,-20,0,-20,0,deg,L0A:dtheta0_deg,1,Phase relative to on-crest,deg
L0B,L0B,ACCL:IN20:300:L0B_PDES,-20,0,-20,0,deg,L0B:dtheta0_deg,1,Phase relative to on-crest,deg
21-S,,KLYS_LI23_11_KPHR,-10,15,-10,15,deg,,,,
,TCAV0,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Constants: ,,,,,,,,,,,
Charge,,TORO:IN20:215:CHRG1H,,,"150, 180, 250",,,,,,
L0A Voltage,,ACCL:IN20:300:L0A_ADES,,,58.5,,,,,,
L0B Voltage,,ACCL:IN20:400:L0B_ADES,,,70,,,,,,